nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"IMANOL","CL VALGRANDE (DE) 21 - NAVE 11","28108","POLIGONO INDUSTRIAL","914840597","914840598","luis.prieto@asadorimanol.com","www.asadorimanol.com","AITOR ANSORENDA","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE",40.53734454,-3.65170598
"IMASATEC","CR FUENCARRAL (DE) OFICINA 60","28108","POLIGONO INDUSTRIAL","913198706","NO DISPONIBLE","imasatec@imasatec.es","www.imasatec.es","MIGUEL ANGEL GUERRA PEÑA","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCCION EN GENERAL",40.51888227,-3.65470622
"IMPERMEABILIZACIONES ESPAÑOLAS","CL GRANJA (DE LA) 9","28108","POLIGONO INDUSTRIAL","914901494","916621863","imper-espanolas@imper-espanolas.com","www.imper-espanolas.com","JOSE ANTONIO PAVON VALIENTE","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","IMPERMEABILIZACIONES Y AISLAMIENTO",40.52807122,-3.65874057
"IMPORMOVIL, S.A.","CL VALGRANDE (DE) 20 - NAVE 2","28108","POLIGONO INDUSTRIAL","916610112 / 656809186","916613255","madrid6@impormovil.es","www.impormovil.es","ANTONIO TAPIAS","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","DISTRIBUCION DE RECAMBIOS DEL AUTOMOVIL EN GENERAL Y VEHICULOS INDUSTRIALES",40.53837705,-3.65201385
"IMPORTACIONES Y EXPORTACIONES VARMA, S.A.","CL GRANJA (DE LA) 15","28108","POLIGONO INDUSTRIAL","916618210","916620063","info@varma.com","www.varma.com","CARLOS LÓPEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","BEBIDAS",40.52911402,-3.65827511
"IMPRE LASER, S.L.","AV DOCTOR SEVERO OCHOA (DEL) 37 - NAVE 4 E","28100","PARQUE EMP. CASABLANCA","916626591","916622141","informatica@imprelaser.es","NO DISPONIBLE","AVELINO MIRANDA","","INFORMATICA","SERVICIOS INFORMATICOS Y PERSONALIZACION DE DOCUMENTOS",40.54136786,-3.65322389
"INARI","CR FUENCARRAL (DE) 44 PORTAL 3, OFICINA 33","28108","POLIGONO INDUSTRIAL","913408923","NO DISPONIBLE","administracion@inarilt.com","www.inarilt.com","FRANCISCO REQUENA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE TRANSFORMACION DIGITAL EN RRHH",40.51888227,-3.65470622
"INDRA","AV BRUSELAS (DE) 35","28108","ARROYO DE LA VEGA","914805000","914805080","cperezay@indra.es","www.indra.es","CARMEN PEREZ AYUSO","","INFORMATICA","ACTIVIDADES INFORMATICAS. TECNOLOGIAS DE LA NFORMACION",40.52843954,-3.64274512
"INDRA","CL SAN JULIAN (DE) 1","28108","POLIGONO INDUSTRIAL","914807000","914807333","NO DISPONIBLE","www.indra.es","NO DISPONIBLE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","TELECOMUNICACIONES. TECNOLOGIAS DE LA INFORMACION",40.53528549,-3.64520358
"INDUSTRIAS DEL PAPEL HERRANZ, S.A.","CL TORRES QUEVEDO (DE) 4","28108","POLIGONO INDUSTRIAL","916610073","916614533","herranzsa@hotmail.com","NO DISPONIBLE","ENRIQUE HERRANZ","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","RECUPERACION DE TODO TIPO DE PAPEL, CARTON Y PALETS. SERVICIO DE CONTENEDORES PARA RETIRADA DE RESIDUOS EN LAS EMPRESAS",40.53456885,-3.65496836
"INFECO 97, S.L.","CL GRANJA (DE LA) 1 - LOCAL 5","28108","POLIGONO INDUSTRIAL","916623595 / 669361241","916624216","info@infeco97.com","www.infeco97.com","JOSE ANTONIO MANSO","","FERRETERIAS. MENAJE","SUMINISTROS INDUSTRIALES (FERRETERIA)",40.52614137,-3.66002015
"INFORMA D & B","AV INDUSTRIA (DE LA) 32 - 1º","28108","POLIGONO INDUSTRIAL","916617119 / 670057261 / 902176076","916613848","agarcia@informa.es","www.informa.es","ANA MARIA GARCIA PEREZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","SUMINISTRA INFORMACION COMERCIAL, FINANCIERA Y DE MARKETING DE EMPRESAS Y EMPRESARIOS",40.53412153,-3.65245488
"INFOTRACK AUTOMATIZACIONES,","CL VALGRANDE (DE) 27 - NAVE F","28108","POLIGONO INDUSTRIAL","917355138","917355139","automatizaciones@infotrack.es","www.infotrack.es","JOSE LUIS CRISTOBAL LOPEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","AUTOMATIZACIONES INDUSTRIALES",40.53891774,-3.65445123
"INFRIOL","CL JOSE ECHEGARAY (DE) 14 - EDIF. A2,  PLTA. 3 Nº 4","28100","PARQUE EMP. CASABLANCA","916618126","916621895","info@infriol.es","NO DISPONIBLE","PABLO OLMEDO","","FRIO INDUSTRIAL","FRIO INDUSTRIAL",40.54240057,-3.65446836
"ING NATIONALE NEDERLANDEN","AV BRUSELAS (DE) 16","28108","ARROYO DE LA VEGA","916026000","916026129","falvarez@nnseguros.es","www.nne.es","FERNANDO ALVAREZ","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS",40.53171339,-3.63658912
"INGENIERIA Y CONTROL FERROVIARIO","CL GRANJA (DE LA) 74","28108","POLIGONO INDUSTRIAL","914901519","NO DISPONIBLE","ingenieria@icf.com.es","www.icf.com.es","DANIELA CARBONE","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","OFICINAS DE INGENIERIA FERROVIARIA",40.53398022,-3.65674427
"INMEDIASTUDIO COMUNICACIÓN","AV DOCTOR SEVERO OCHOA (DEL) 29 - PLANTA 1, OFICINA 2","28100","PARQUE EMP. CASABLANCA","916621006","NO DISPONIBLE","rrhh@inmediastudio.com","NO DISPONIBLE","MARIA FELIPE","","INFORMATICA","PROGRAMACION INFORMATICA. DESARROLLO DE SOLUCIONES TECNOLOGICAS",40.54146460,-3.65239849
"INMOBILIARIA ALCERA","AV INDUSTRIA (DE LA) 37 - 39","28108","POLIGONO INDUSTRIAL","911416100","918032253","alcera1@gmail.com","NO DISPONIBLE","ALBERTO LARRAÑAGA","","INMOBILIARIAS Y CONSTRUCTORAS","INMOBILIARIA",40.53389907,-3.65273873
"INMOGOZA","CL CANTABRIA (DE) 2 1º PLANTA EDF. AMURA","28100","POLIGONO INDUSTRIAL","912997800","NO DISPONIBLE","departamento.personal@ogoza.com","www.ogoza.com","ALFREDO OLMEDA","","INMOBILIARIAS Y CONSTRUCTORAS","AGENTES DE LA PROPIEDAD INMOBILIARIA",,
"INNOQUALITAS","CL ANABEL SEGURA (DE) 10 3ºPLANTA EDF. FITENI","28100","ARROYO DE LA VEGA","911846403","NO DISPONIBLE","administracion@ag-rupem.com","www.innoqualitas.dom","JAVIER TEJERA BUSTOS","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA , CONTABILIDAD DE EMPRESAS , E IMPLANTACION DE NORMAS DE CALIDAD",40.53420975,-3.62762211
"INSFERA","CR FUENCARRAL (DE) 44 PORTAL 3, 1º PLANTA, OFICINA 14","28108","POLIGONO INDUSTRIAL","916694096","NO DISPONIBLE","jdiaz@insfera.com","www.insfera.com","JAVIER DIAZ-PINES","","INFORMATICA","DESARROLLOS INFORMATICOS, APP, DESARROLLOS EN LA NUBE",40.51888227,-3.65470622
"INSTITUTO CENTTA","AV INDUSTRIA (DE LA) 4 - ED. 1, ESC. 1, Iº A","28108","POLIGONO INDUSTRIAL","636814417","NO DISPONIBLE","info@centta.es","www.centta.es","SILVIA CINTRANO","","SERVICIOS MEDICOS","TRATAMIENTOS SPSICOLOGICOS",40.53543008,-3.64232167
"INSTRELEC SERVICE","AV ESPAÑA (DE) 17 - CENTRO EMPRESARIAL, 2ª PLANTA, OF. 2-11","28100","CASCO URBANO","916524535 /  916529865 / 637478432","NO DISPONIBLE","maria.sanchez@instrelecservices.es","www.instrelecservice.es","MARIA ALEJANDRA SANCHEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","SERVICIOS TECNICOS DE INGENIERIA",40.54813911,-3.63826729
"INTELITZIA","CL RAMON Y CAJAL (DE) 5","28100","CENTRO DE EMPRESAS","686966507","NO DISPONIBLE","as@intelitzia.com","NO DISPONIBLE","AVELINO SANZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA E INVESTIGACION",40.54250148,-3.65225970
"INTER SYSTEMS IBERIA","AV EUROPA (DE) 12 - 1 B EDIFICIO MONACO","28108","PARQUE EMP. MORALEJA","914841880","916626084","jacinto.tejero@intersystems.com","www.intersystems.com","JACINTO TEJERO","","INFORMATICA","COMERCIALIZACION DE SOFTWARE",40.51840775,-3.65598115
"INUTRALIA","CL GRANJA (DE LA) 15","28108","POLIGONO INDUSTRIAL","917374361","NO DISPONIBLE","angeles.barba@inutralia.com","http://www.inutralia.com/","Manuel Ruiz Garay","","SERVICIOS MEDICOS","NUTRICION ON LINE, PROFESIONALES DE LA SALUD PARA AYUDAR A REALIZAR UNA VIDA MAS SALUDABLE",40.52911402,-3.65827511
"INVARAT","AV INDUSTRIA (DE LA) 4 EDF. 3, BAJO","28108","POLIGONO INDUSTRIAL","902551534","NO DISPONIBLE","info@invarat.com","www.invarat.com","HECTOR IZQUIERDO","","INMOBILIARIAS Y CONSTRUCTORAS","PERITACIONES Y TASACIONES",40.53543008,-3.64232167
"INVERCLEAN","CL EINSTEIN (DE) 4","28108","POLIGONO INDUSTRIAL","916622145 / 639182555","NO DISPONIBLE","inverclean@ctv.es","NO DISPONIBLE","JOAQUIN MEDINA","","TINTORERIA Y PLANCHADO","LAVADO Y LIMPIEZA DE PRENDAS DE PIEL",40.53428513,-3.65387728
"INVERSIONES, OPORTUNIDADES Y NEGOCIOS","CL FRANCISCO GERVAS (DE) 13","28108","POLIGONO INDUSTRIAL","916612917","NO DISPONIBLE","estacionesdeserviciosion@gmail.com","NO DISPONIBLE","ENRIQUE RUBIO","","ESTACIONES DE SERVICIO Y EMPRESAS AUXILIARES","ESTACION DE SERVICIO",40.53332094,-3.65225763
"IRISFARMA","AV INDUSTRIA (DE LA) 30","28108","POLIGONO INDUSTRIAL","916635000","916635184","santander_jorge@lilly.com","www.lilly.es","ALEJANDRO DE SIMON","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.53425345,-3.65158382
"IRON MOUNTAIN ESPAÑA","CL REYES CATOLICOS (DE LOS) 6","28108","POLIGONO INDUSTRIAL","916610120","916619992","recepcion@ironmountain.es","www.ironmountain.es","CLARA SALAS","","INFORMATICA","SERVICIO DE CUSTODIA DE ARCHIVOS INFORMATICOS EN SOPORTES MAGNETICOS",40.53652585,-3.65212849
"ISOLANA","CL SAN JOSE ARTESANO (DE) 18","28108","POLIGONO INDUSTRIAL","916619111","916615169","alcobendas@isolana.es","www.isolana.es","JAIME MARTINEZ JIMENEZ","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","DISTRIBUCION DE AISLAMIENTOS TERMICOS Y ACUSTICOS, TECHOS REGISTRABLES, SISTEMAS EN YESO LAMINADO, PROTECCION PASIVA CONTA INCENDIOS",40.52949154,-3.65446793
"ISOPLACA","CL SIETE PICOS (DE) 12","28108","POLIGONO INDUSTRIAL","691232115","NO DISPONIBLE","alcobendas@isoplaca.com","www.bricomadrid.com","JOSE LUIS GONZALEZ","","FERRETERIAS. MENAJE","FERRETERIA INDUSTRIAL AISLAMIENTO",40.53690952,-3.65988669
"IT RENTING","CL GRANJA (DE LA) 82","28108","POLIGONO INDUSTRIAL","911844100","915901682","info@itrenting.com","www.itrenting.com","YOLANDA GOMEZ","","INFORMATICA","RENTING EQUIPOS INFORMATICOS",40.53461370,-3.65673098
"ITAI PHARMA","AV INDUSTRIA (DE LA) 6 - 2ª PLANTA, OFICINA 3-B","28108","POLIGONO INDUSTRIAL","917376819","NO DISPONIBLE","jcalleja@itaipharma.es","NO DISPONIBLE","JESUS CALLEJA GIL","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIALIZACION DE PRODUCTOS FARMACEUTICOS",40.53525212,-3.64306522
"ITALFARMACO","CL SAN RAFAEL (DE) 3","28108","POLIGONO INDUSTRIAL","916572323","916572372","jgarcia@itfsp.com","www.itfsp.com","JOSE GARCIA MARIN","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO FARMACEUTICO",40.52559861,-3.66007610
"ITANCIA","CL REYES CATOLICOS (DE LOS) 6","28108","POLIGONO INDUSTRIAL","916591092 / 902405015","NO DISPONIBLE","m.pascual@itancia.com","www.itancia.com","LUIS NORIEGA","","INFORMATICA","MAYORISTAS INFORMATICOS",40.53652585,-3.65212849
"ITCONIC","CL VALGRANDE (DE) 6","28108","POLIGONO INDUSTRIAL","902335599","NO DISPONIBLE","info@itconic.com","www.itconic.com","DPTO. COMERCIAL","","INFORMATICA","TECNOLOGIAS DE LA INFORMACION",40.53639748,-3.64916979
"ITF MEDILAB FARMA","CL SAN RAFAEL (DE) 3","28108","POLIGONO INDUSTRIAL","916572323","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE A. SAENZ ESPINOSA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.52559861,-3.66007610
"ITF RESEARCH PHARMA","CL SAN RAFAEL (DE) 3","28108","POLIGONO INDUSTRIAL","916572323","NO DISPONIBLE","jsaenz@itfsp.com","NO DISPONIBLE","JOSE A. SAENZ ESPINOSA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.52559861,-3.66007610
"ITURRINO, SUMINISTROS INDUSTRIALES","AV VALDELAPARRA (DE) 31 - NAVE - F","28108","POLIGONO INDUSTRIAL","916613612","916618636","iturrino@iturrino.net","www.iturrino.net","MARTA ITURRINO","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","VENTA DE ACEROS Y METALES",40.53886393,-3.64849321
"ITV ALCOBENDAS","CR FUENCARRAL (DE) 100","28108","POLIGONO INDUSTRIAL","914901117","NO DISPONIBLE","itv2833@itevelesa.com","www.itevelesa.com","LUIS ANGEL MARTIN","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","INSPECCION TECNICA DE VEHICULOS",40.51888227,-3.65470622
"IXUXUXUU","CR FUENCARRAL (DE) 44 - ED 7 OF 12","28108","POLIGONO INDUSTRIAL","910075394 / 6077658189","NO DISPONIBLE","ricardoolllera@ixuxuxuu.com","NO DISPONIBLE","RICARDO LLERA SANTAMARIA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA MARKETING Y SOCIAL MEDIA, REDES SOCIALES, COMUNITY MANAGEMENT, DISEÑO WEB, DESARROLLO ENTORNOS WEB, TIENDAS VIRTUALES, ECOMMERCE, VIDEOMARKETING, DERECHO INTERNET",40.51888227,-3.65470622
"IZASA SCIENTIFIC","CL ARAGONESES (DE LOS) 13","28108","POLIGONO INDUSTRIAL","916630500","NO DISPONIBLE","customerservice-es@werfen.com","www.izasa.com","MILAN GONZALEZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIALIZACION DE PRODUCTOS Y EQUIPOS CIENTIFICOS Y HOSPITALARIOS",40.52319270,-3.66108487
"IZO SYSTEM","AV INDUSTRIA (DE LA) 4 - EDIFICIO - 3 1º  B","28108","POLIGONO INDUSTRIAL","902116833","918054902","mercedes.lopez@izo.es","www.izo.es","MERCEDES LOPEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA SALES & BUSINES DEVELOPMENT",40.53543008,-3.64232167
"J. ABAD","CL GUZMAN EL BUENO (DE) 13","28108","POLIGONO INDUSTRIAL","914902590 / 916818228","NO DISPONIBLE","carmenmoran@jabadcodelco.es","www.jabadcodelco.es","CARMEN MORAN","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","MATERIALES Y PRODUCTOS DE CALEFACCION, FONTANERIA, A/A, GAS Y ENERGIA SOLAR",40.52889238,-3.65637923
"J.MG. NEUMATICOS","CL SAN JULIAN (DE) 4","28108","POLIGONO INDUSTRIAL","916615700 / 629251584","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE GONZALEZ HERVAS","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION Y CAMBIOS DE NEUMATICOS",40.53550139,-3.64505920
"JAM HOLDING","AV INDUSTRIA (DE LA) 4 -EDIF 2 ESC 2","28108","POLIGONO INDUSTRIAL","669426799","NO DISPONIBLE","mmarquez@aryan.es","NO DISPONIBLE","MARIO MARQUEZ","","INMOBILIARIAS Y CONSTRUCTORAS","PROMOCION Y ALQUILER DE INMUEBLES",40.53543008,-3.64232167
"JAMSA","CL GRANJA (DE LA) 90","28108","POLIGONO INDUSTRIAL","916611085","916615445","administracion@comercialjamonera.com","www.comercialjamonera.com","JUAN MANUEL PINILLA SANCHEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","DISTRIBUCION DE PRODUCTOS CARNICOS. MARCA JAMSA",40.53548238,-3.65558983
"JESUS RODRIGUEZ SUAREZ, S.A.","CL GRANJA (DE LA) 33","28108","POLIGONO INDUSTRIAL","916614177","916614251","jerosu@jerosu.com","www.jerosu.com","JESUS RODRIGUEZ SUAREZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","REPRESENTACION Y DISTRIBUCION DE PRODUCTOS ALIMENTICIOS",40.53289998,-3.65720263
"JG AUTOMOTIVE","AV INDUSTRIA (DE LA) 32 - D , LOCAL 2","28108","POLIGONO INDUSTRIAL","916573749","916627217","cindy.gomez@jgautomotive.com","www.jgautomotive.com","CINDY GOMEZ","","PRODUCCION DE PIEZAS DE PRECISION. RODAMIENTOS","DESARROLLO DE COMPONENTES DE AUTOMOCION",40.53425345,-3.65158382
"JOHNSON CONTROLS","CL VALPORTILLO II (DE) 16","28108","POLIGONO INDUSTRIAL","917242100","NO DISPONIBLE","be-atencion.clientes@jci.com","www.johnsoncontrols.es","MANUEL FLORES","","SERVICIOS DE FUMIGACION. PROTECCION ANTIINCENDIOS","FABRICACION, INSTALACION Y MANTENIMIENTO DE SISTEMAS DE CLIMATIZACION",40.53318462,-3.65565272
"JOMAJOR MENSAJERIA","AV INDUSTRIA (DE LA) 32 - NAVE 5","28108","POLIGONO INDUSTRIAL","912418738","916629940","2869moraleja@tourlineexpress.com","www.tourlineexpress.com","JOSEFA SILES","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","MENSAJERIA",40.53412153,-3.65245488
"JUAN MORALEDA","CL GRANJA (DE LA) 92","28108","POLIGONO INDUSTRIAL","916611467","NO DISPONIBLE","jmoraledaehijos@yahoo.es","NO DISPONIBLE","JUAN MORALEDA CONTRERAS","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","TRANSPORTES MUDANZAS Y GUARDA MUEBLES",40.53548263,-3.65588525
"JUNIPER NETWORKS SPAIN, S.L.U.","CR FUENCARRAL (DE) 5 - EDIFICIO 2","28108","CAMPUS EMPRESARIAL ARBEA","914143400","NO TIENEN","lrequena@juniper.net","www.juniper.net","ARTURO SOTILLO ALONSO","","INFORMATICA","DESARROLLO DE SOFTWARE INFORMATICO Y HARDWARE",40.51888227,-3.65470622
"JURCAL","CL VALGRANDE (DE) 27 - NAVE 11","28108","POLIGONO INDUSTRIAL","916622274","916616704","jcalderon@jurcal.es","www.jurcal.es","JULIAN CALDERON BRAÑA","","MAYORISTAS","VENTA AL POR MAYOR DE ENVASES DE VIDRIO PARA LA INDUSTRIA FARMACEUTICA Y COSMETICA",40.53913183,-3.65422956
"JUSHI SPAIN","CR BARAJAS (DE) 24 EDIFICIO GAMMA - PLANTA 3ª","28100","CASCO URBANO","917678817","917678818","nicanor.amor@jushispain.com","www.jushi.com","NICANOR AMOR GONZALEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION Y COMERCIALIZACION DE FIBRA DE VIDRIO",40.53457785,-3.62091589
"KAMAE, SOLUCIONES INFORMATICAS","CL GUADIANA (DEL) 4","28100","CASCO URBANO","673085279","NO DISPONIBLE","c.ivan.pa@gmail.com","NO DISPONIBLE","IVAN PEREZ ARANDA","","INFORMATICA","DESARROLLO DE SOFTWARE, WEBS Y TECNOLOGIAS",40.54445208,-3.63956782
"KARMAC EDIFICIOS","CL SAN JOSE ARTESANO (DE) 1","28108","POLIGONO INDUSTRIAL","916610781","916613118","NO DISPONIBLE","NO DISPONIBLE","ALBERTO ROJERO","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","ALQUILER DE OFICINAS",40.52979004,-3.65666286
"KATERING JOSE LUIS","AV INDUSTRIA (DE LA) 35","28108","POLIGONO INDUSTRIAL","914844300 / 914844303","914844301","katering@joseluis.es","www.joseluis.es","JULIA RIVERO","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","CATERING, SERVICIO A DOMICILIO",40.53401921,-3.65188309
"KB PUBLICIDAD","CR FUENCARRAL (DE) 14 - 16","28108","POLIGONO INDUSTRIAL","913784559","NO DISPONIBLE","info@kbpublicidad.com","www.kbpublicidad.com","ESTHER","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","IMPRENTA. DISEÑO GRAFICO, DISEÑO WEB, SEO Y SEM",40.51888227,-3.65470622
"KEIKEN ENGINEERING","CR FUENCARRAL (DE) 44 - EDIFICIO 7, OFICINA 28 D","28108","POLIGONO INDUSTRIAL","639524010 / 810527072","NO DISPONIBLE","info@keiken.es","NO DISPONIBLE","FERNANDO PORTILLO VALLES","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE GESTION DE PROYECTOS, INGENIERIA Y EFICIENCIA ENERGETICA",40.51888227,-3.65470622
"KEMP PERSONAS & NEGOCIOS","CR FUENCARRAL (DE) 44","28108","POLIGONO INDUSTRIAL","916220957","NO DISPONIBLE","info@kemp.es","www.kemp.es","MIRELLA DURANTES","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA ESTRATEGICA Y FORMACION A MEDIDA PARA DIRECTIVOS Y EQUIPOS COMERCIALES",40.51888227,-3.65470622
"KEYDEA COMUNICACIÓN","AV INDUSTRIA (DE LA) 37 - 39  PLANTA 3º, OFICINA 4","28108","POLIGONO INDUSTRIAL","913767118","NO DISPONIBLE","agomez@keydea.es","www.keydea.es","ALEJANDRA GOMEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING IN STORE, TRADE MARKETING, MARKETING PROMOCIONAL Y EVENTOS",40.53389907,-3.65273873
"KEYTRON, S.A.","AV DOCTOR SEVERO OCHOA (DEL) 31","28100","PARQUE EMP. CASABLANCA","916626171","916625910","comunicaciones@keytron.com","www.keytron.com","EVA PRIETO","","INFORMATICA","COMUNICACIONES PARA INFORMATICA",40.54143544,-3.65249238
"KIKOS CATERING, S.L.","CL VALPORTILLO I (DE) 5","28108","POLIGONO INDUSTRIAL","607800515","NO DISPONIBLE","NO DISPONIBLE","www.kikoscatering.com","FRANCISCO FERNANDEZ","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","HOSTELERIA-CATERING",40.53033366,-3.65403627
"KITCHEN CONSULT","CL VALGRANDE (DE) 30","28108","POLIGONO INDUSTRIAL","914905553","916614947","info@kitchenconsult.es","www.kitchenconsult.es","RAUL IVAN FERNANDEZ ALLADE","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","VENTA E INSTALACION DE MAQUINARIA DE HOSTELERIA., DISEÑO DE RESTAURANTES Y COCINAS INDUSTRIALES.",40.53931819,-3.65375015
"KMI","AV EUROPA (DE) 16 1ª PLANTA","28108","PARQUE EMP. MORALEJA","913697410","915714171","recepcion.alcobendas@kloeckner.com","www.kloecknermetals.es","LUCIA DIAZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","DISTRIBUCION DE ACEROS Y METALES",40.51738645,-3.65595520
"KOCH MEDIA, S.L.U.","AV DOCTOR SEVERO OCHOA (DEL) 37","28100","PARQUE EMP. CASABLANCA","911142640","913677457","p.sanchez@kochmedia.com","www.kochmedia.es","JESUS GARCIA / ELISA RAMOS","","VIDEOJUEGOS, VIDEOCLUBS","DISTRIBUCION DE VIDEOJUEGOS",40.54136786,-3.65322389
"KROLL ONTRACK","CL ANABEL SEGURA (DE) 7","28100","ARROYO DE LA VEGA","900112012","NO DISPONIBLE","informacion@krollontrack.com","www.ontrackdatarecovery.es","MARCOS LOPEZ","","INFORMATICA","SERVICIOS DE RECUPERACION DE DATOS INFORMATICOS",40.53498955,-3.62644539
"KROMATEK","CL VALGRANDE (DE) 20 - NAVE 17","28108","POLIGONO INDUSTRIAL","913604496 / 653986670","913604496","sergioalan@kromatek.net","www.kromatek.es","SERGIO ALAN","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","IMPRESIÓN GRAN FORMATO - ROTULACION",40.53887035,-3.65174187
"LA CAIXA","AV BRUSELAS (DE) 9","28108","ARROYO DE LA VEGA","914405300","914900649","scordon@lacaixa.es","www.lacaixa.es","SOLEDAD CORDON MOYA","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","CAJA DE AHORROS",40.53125233,-3.63363326
"LA COSECHA","CL MEQUINENZA (DE) 14","28100","CASCO URBANO","671336111","NO DISPONIBLE","gmd172119@hotmail.com","NO DISPONIBLE","GUSTAVO ANDRES HERRERA MUÑOZ","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRAIBUCION DE ALIMENTOS LATINOS",40.54623495,-3.63723522
"LA MAREA","AV VALDELAPARRA (DE) 27","28108","POLIGONO INDUSTRIAL","916616593","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MIGUEL FRAILE","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","CAFETERIA RESTAURANTE",40.53889230,-3.64696818
"LA OCA","CL VALGRANDE (DE) 14 - NAVE 28","28108","POLIGONO INDUSTRIAL","916612710","916611420","g.martin@laoca.es","www.laoca.com","GLORIA MARTIN","","LOGISTICA Y ALMACENAJE","ALMACEN DE MUEBLES",40.53884703,-3.65025208
